Предложение3	Описание4	2024-06-06T15:53:53.377Z	B	preview4.jpg	photo3.jpg	true	false	3.3	room	6	10	3959	Baby seat;Washer;Towels;Fridge	Олег Сидоров	freedom@pisem.local	roland.jpg	password3	pro	r
Предложение2	Описание4	2024-06-03T15:53:53.379Z	B	preview4.jpg	photo1.jpg	false	false	3.1	house	7	4	54926	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Олег Сидоров	fish@big.local	smite.jpg	password5	regular	r
Предложение4	Описание1	2024-06-07T15:53:53.379Z	A	preview3.jpg	photo5.jpg	true	true	4.4	room	7	1	96934	Towels;Fridge	Холи Гибни	test@pisem.local	photo.jpg	password5	regular	m
Предложение3	Описание3	2024-06-07T15:53:53.379Z	C	preview4.jpg	photo2.jpg	true	true	3.1	room	3	6	3312	Washer;Towels;Fridge	Роланд Дискейн	fish@big.local	awesome-avatar.jpg	password2	pro	o
Предложение2	Описание3	2024-06-05T15:53:53.379Z	B	preview3.jpg	photo3.jpg	true	true	3.8	house	5	7	82576	Baby seat;Washer;Towels;Fridge	Холи Гибни	president@dka.local	awesome-avatar.jpg	password5	pro	r
Предложение4	Описание4	2024-06-03T15:53:53.379Z	C	preview4.jpg	photo4.jpg	true	true	2.1	room	6	9	83232	Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Пьер Безухов	president@dka.local	roland.jpg	password3	regular	o
Предложение4	Описание2	2024-06-06T15:53:53.379Z	B	preview4.jpg	photo2.jpg	true	false	4.2	house	3	8	73850	Breakfast;Air conditioning	Роланд Дискейн	president@dka.local	awesome-avatar.jpg	password3	pro	r
Предложение3	Описание4	2024-06-07T15:53:53.379Z	C	preview3.jpg	photo5.jpg	true	true	4.2	apartment	6	8	91243	Towels;Fridge	Пьер Безухов	freedom@pisem.local	smite.jpg	password4	pro	o
Предложение3	Описание5	2024-06-06T15:53:53.379Z	C	preview4.jpg	photo2.jpg	false	true	4.6	house	4	8	83863	Towels;Fridge	Иван Иванов	president@dka.local	awesome-avatar.jpg	password5	regular	o
Предложение4	Описание1	2024-06-07T15:53:53.380Z	B	preview1.jpg	photo3.jpg	false	true	5	apartment	7	9	51038	Air conditioning;Laptop friendly workspace;Baby seat;Washer;Towels;Fridge	Роланд Дискейн	fish@big.local	smite.jpg	password2	pro	r
Предложение2	Описание4	2024-06-06T15:53:53.380Z	C	preview3.jpg	photo4.jpg	false	true	4.9	house	1	7	80132	Breakfast;Air conditioning;Laptop friendly workspace;Baby seat;Washer	Роланд Дискейн	president@dka.local	awesome-avatar.jpg	password3	regular	o
Предложение5	Описание5	2024-06-05T15:53:53.380Z	B	preview1.jpg	photo2.jpg	false	false	3.6	apartment	4	7	60330	Breakfast;Air conditioning;Laptop friendly workspace;Baby seat;Washer	Иван Иванов	president@dka.local	smite.jpg	password4	pro	r
Предложение3	Описание3	2024-06-08T15:53:53.380Z	H	preview2.jpg	photo3.jpg	false	true	3.6	house	3	3	68532	Air conditioning;Laptop friendly workspace;Baby seat;Washer;Towels	Роланд Дискейн	test@pisem.local	photo.jpg	password2	regular	a
Предложение4	Описание3	2024-06-06T15:53:53.380Z	B	preview3.jpg	photo4.jpg	true	true	3.5	apartment	7	7	49114	Towels;Fridge	Роланд Дискейн	snow@pisem.local	user.jpg	password3	regular	r
Предложение3	Описание3	2024-06-09T15:53:53.380Z	P	preview5.jpg	photo4.jpg	false	false	2.4	hotel	5	9	22489	Washer;Towels;Fridge	Иван Иванов	president@dka.local	roland.jpg	password4	pro	a
